GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",640,137,46,29,62,46,117,68,83,60,41,32,20,19,19,22,66,37,150,67,36,59
1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",782,150,65,72,119,82,139,72,94,53,132,79,24,25,35,38,0,12,80,52,94,83
1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",313,31,22,21,6,9,44,24,88,21,31,22,32,23,21,20,31,23,38,19,0,12
1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",134,52,0,12,24,18,8,14,52,35,27,33,5,8,0,12,13,17,0,12,5,7
1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470015001,360470015001,"Block Group 1, Census Tract 15, Kings County, New York",449,84,9,14,63,42,58,47,78,46,89,49,39,30,9,15,53,42,30,28,21,32
1500000US360470015002,360470015002,"Block Group 2, Census Tract 15, Kings County, New York",524,98,24,23,57,37,94,47,63,45,107,61,21,25,60,39,10,15,75,49,13,19
1500000US360470015003,360470015003,"Block Group 3, Census Tract 15, Kings County, New York",732,120,17,19,46,44,78,55,115,57,34,47,50,45,23,27,64,61,235,91,70,56
1500000US360470018000,360470018000,"Block Group 0, Census Tract 18, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",137,50,0,12,16,17,24,25,18,20,0,12,0,12,0,12,30,31,49,35,0,12
1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",133,52,21,23,0,12,4,7,11,17,46,34,9,15,0,12,13,15,6,9,23,25
1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York",46,32,21,22,8,12,10,15,0,12,0,12,0,12,0,12,0,12,7,12,0,12
1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York",453,125,8,12,45,36,199,110,46,39,26,27,48,48,15,24,28,45,38,49,0,12
1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York",339,109,0,12,106,74,25,22,70,63,15,12,35,32,0,12,27,42,61,47,0,12
1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",393,91,34,40,30,35,30,35,15,24,15,24,47,47,8,12,43,48,171,91,0,12
1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",342,100,0,12,23,28,48,45,49,44,45,30,15,18,0,12,33,37,113,82,16,26
1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",418,100,24,22,101,58,40,36,15,16,15,17,10,17,64,53,7,12,84,63,58,42
1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",551,117,33,27,47,52,73,63,61,64,26,28,88,79,103,92,27,35,67,49,26,32
1500000US360470023002,360470023002,"Block Group 2, Census Tract 23, Kings County, New York",568,97,45,40,17,22,120,55,69,46,51,34,53,45,13,20,7,11,131,76,62,58
1500000US360470023003,360470023003,"Block Group 3, Census Tract 23, Kings County, New York",432,78,87,52,64,41,32,28,0,12,52,38,69,51,44,38,0,12,78,49,6,11
1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",1015,85,76,46,19,20,82,41,136,68,147,72,87,51,34,31,131,55,225,80,78,69
1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",228,73,8,13,32,30,0,12,9,17,18,23,43,45,20,21,0,12,98,69,0,12
1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",121,49,0,12,0,12,26,25,30,50,0,12,14,16,32,42,4,7,12,13,3,6
1500000US360470030002,360470030002,"Block Group 2, Census Tract 30, Kings County, New York",175,58,0,12,0,12,30,26,20,32,63,44,4,6,0,12,10,14,48,41,0,12
1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",364,88,11,14,33,25,28,24,95,59,63,45,5,8,16,18,14,15,88,64,11,11
1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470031003,360470031003,"Block Group 3, Census Tract 31, Kings County, New York",82,37,0,12,8,13,0,12,45,34,4,7,19,25,6,8,0,12,0,12,0,12
1500000US360470033001,360470033001,"Block Group 1, Census Tract 33, Kings County, New York",406,108,48,43,46,33,81,63,20,23,25,23,0,12,12,19,65,68,88,58,21,17
1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York",897,115,33,33,76,54,75,49,153,74,138,59,60,43,55,50,49,56,258,110,0,12
1500000US360470034000,360470034000,"Block Group 0, Census Tract 34, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470034001,360470034001,"Block Group 1, Census Tract 34, Kings County, New York",273,120,0,12,50,61,79,86,0,12,11,18,11,17,7,11,89,80,26,26,0,12
1500000US360470034002,360470034002,"Block Group 2, Census Tract 34, Kings County, New York",243,89,25,29,39,35,36,26,40,36,12,18,11,17,0,12,0,12,69,60,11,17
1500000US360470034003,360470034003,"Block Group 3, Census Tract 34, Kings County, New York",247,107,42,55,25,29,0,12,76,81,8,14,0,12,36,56,0,12,40,28,20,23
1500000US360470035001,360470035001,"Block Group 1, Census Tract 35, Kings County, New York",142,57,4,7,7,11,15,14,24,32,21,21,20,21,7,11,17,26,27,27,0,12
1500000US360470035002,360470035002,"Block Group 2, Census Tract 35, Kings County, New York",468,78,0,12,70,46,25,21,71,51,14,18,69,45,7,11,56,34,145,67,11,16
1500000US360470036001,360470036001,"Block Group 1, Census Tract 36, Kings County, New York",273,88,10,16,51,62,6,10,35,48,29,42,9,14,1,11,12,14,120,55,0,12
1500000US360470036002,360470036002,"Block Group 2, Census Tract 36, Kings County, New York",530,109,12,16,70,57,79,52,53,40,109,63,29,30,20,21,9,16,136,66,13,20
1500000US360470036003,360470036003,"Block Group 3, Census Tract 36, Kings County, New York",357,91,21,23,12,19,15,13,68,65,44,25,0,12,60,49,25,19,88,53,24,38
1500000US360470037001,360470037001,"Block Group 1, Census Tract 37, Kings County, New York",314,35,0,12,63,33,37,27,60,36,35,24,12,15,17,22,54,23,32,19,4,7
1500000US360470038000,360470038000,"Block Group 0, Census Tract 38, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470038001,360470038001,"Block Group 1, Census Tract 38, Kings County, New York",199,62,20,25,21,27,55,33,22,18,32,29,9,11,0,12,14,13,16,17,10,14
1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",390,77,29,33,39,31,62,41,52,36,41,40,20,24,17,19,52,43,47,34,31,31
1500000US360470039002,360470039002,"Block Group 2, Census Tract 39, Kings County, New York",284,52,0,12,0,12,19,21,6,9,67,47,8,14,31,33,0,12,153,56,0,12
1500000US360470039003,360470039003,"Block Group 3, Census Tract 39, Kings County, New York",144,55,40,39,10,16,30,29,0,12,21,22,0,12,0,12,7,13,36,28,0,12
1500000US360470041001,360470041001,"Block Group 1, Census Tract 41, Kings County, New York",562,108,21,23,80,60,81,45,74,63,56,49,40,44,44,33,89,66,41,44,36,40
1500000US360470041002,360470041002,"Block Group 2, Census Tract 41, Kings County, New York",281,95,9,14,19,22,16,27,7,12,81,53,9,15,10,15,30,47,100,85,0,12
1500000US360470041003,360470041003,"Block Group 3, Census Tract 41, Kings County, New York",201,90,0,12,35,38,77,69,9,14,11,17,7,12,0,12,10,17,52,45,0,12
1500000US360470043001,360470043001,"Block Group 1, Census Tract 43, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470043002,360470043002,"Block Group 2, Census Tract 43, Kings County, New York",259,77,11,16,23,38,48,42,14,15,47,37,24,19,42,42,32,37,10,16,8,12
1500000US360470043003,360470043003,"Block Group 3, Census Tract 43, Kings County, New York",344,116,0,12,26,29,27,19,67,49,68,60,0,12,0,12,75,75,56,55,25,39
1500000US360470043004,360470043004,"Block Group 4, Census Tract 43, Kings County, New York",387,99,7,12,33,28,25,23,123,68,77,62,12,18,19,21,36,29,55,41,0,12
1500000US360470044000,360470044000,"Block Group 0, Census Tract 44, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470044001,360470044001,"Block Group 1, Census Tract 44, Kings County, New York",32,20,0,12,6,9,0,12,0,12,9,10,0,12,0,12,0,12,12,18,5,9
1500000US360470044002,360470044002,"Block Group 2, Census Tract 44, Kings County, New York",233,64,0,12,13,15,56,42,43,32,0,12,13,11,22,22,10,16,71,45,5,8
1500000US360470045001,360470045001,"Block Group 1, Census Tract 45, Kings County, New York",392,97,26,27,7,11,39,31,8,14,87,55,51,37,47,49,66,65,46,30,15,18
1500000US360470045002,360470045002,"Block Group 2, Census Tract 45, Kings County, New York",232,63,10,16,42,48,27,25,48,32,30,28,18,19,36,44,0,12,10,15,11,16
1500000US360470045003,360470045003,"Block Group 3, Census Tract 45, Kings County, New York",245,90,30,49,7,12,35,45,17,19,17,20,49,51,29,26,9,15,52,60,0,12
1500000US360470045004,360470045004,"Block Group 4, Census Tract 45, Kings County, New York",199,61,54,43,60,43,9,13,17,18,0,12,7,11,9,14,11,17,32,28,0,12
