GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US360470035001,360470035001,"Block Group 1, Census Tract 35, Kings County, New York",263,64,0,12,4,6,20,32,0,12,0,12,22,28,12,13,3,4,0,12,31,29,11,13,11,12,43,29,13,14,51,26,42,28
1500000US360470035002,360470035002,"Block Group 2, Census Tract 35, Kings County, New York",523,69,47,32,28,20,51,43,44,40,26,25,76,53,0,12,10,17,46,50,42,28,52,35,31,31,6,10,20,17,39,38,5,7
1500000US360470036001,360470036001,"Block Group 1, Census Tract 36, Kings County, New York",549,107,8,15,71,72,5,9,63,60,0,12,21,16,0,12,16,18,40,50,55,52,9,15,78,57,43,44,45,28,74,57,21,22
1500000US360470036002,360470036002,"Block Group 2, Census Tract 36, Kings County, New York",710,108,55,37,21,21,58,55,16,19,48,53,0,12,17,19,51,54,9,15,84,40,71,43,92,54,66,50,39,39,75,41,8,11
1500000US360470036003,360470036003,"Block Group 3, Census Tract 36, Kings County, New York",543,97,34,41,27,34,24,21,6,11,74,56,26,28,0,12,15,17,48,36,24,18,43,29,25,25,63,61,11,16,71,54,52,43
1500000US360470037001,360470037001,"Block Group 1, Census Tract 37, Kings County, New York",368,30,37,17,7,12,4,5,3,6,4,5,6,7,0,12,13,14,1,5,8,8,83,43,48,26,22,16,31,26,43,30,58,34
1500000US360470038000,360470038000,"Block Group 0, Census Tract 38, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470038001,360470038001,"Block Group 1, Census Tract 38, Kings County, New York",661,61,31,40,0,12,20,22,27,24,9,10,15,23,11,14,16,18,20,24,20,20,40,27,140,53,86,41,24,21,90,35,112,51
1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",581,77,32,26,27,31,16,16,22,28,7,11,0,12,12,15,16,25,0,12,30,36,22,26,37,32,59,35,79,57,93,52,129,65
1500000US360470039002,360470039002,"Block Group 2, Census Tract 39, Kings County, New York",339,55,89,43,55,35,27,30,24,25,0,12,0,12,15,16,7,12,10,16,0,12,17,20,43,37,0,12,0,12,0,12,52,31
1500000US360470039003,360470039003,"Block Group 3, Census Tract 39, Kings County, New York",195,55,0,12,10,15,8,13,10,16,8,13,0,12,7,13,0,12,0,12,0,12,0,12,17,18,21,24,37,31,37,34,40,33
1500000US360470041001,360470041001,"Block Group 1, Census Tract 41, Kings County, New York",689,110,15,23,11,17,45,42,0,12,25,40,21,22,16,19,40,51,33,26,36,45,52,48,93,68,38,32,65,34,80,51,119,68
1500000US360470041002,360470041002,"Block Group 2, Census Tract 41, Kings County, New York",463,104,58,59,0,12,31,51,0,12,0,12,0,12,0,12,0,12,11,18,15,22,55,40,77,65,72,53,40,49,49,36,55,33
1500000US360470041003,360470041003,"Block Group 3, Census Tract 41, Kings County, New York",387,88,0,12,0,12,19,22,20,29,17,22,22,30,0,12,0,12,0,12,0,12,16,20,19,22,37,31,73,65,40,51,124,62
1500000US360470043001,360470043001,"Block Group 1, Census Tract 43, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470043002,360470043002,"Block Group 2, Census Tract 43, Kings County, New York",464,92,94,57,0,12,0,12,22,24,40,33,6,10,0,12,17,28,0,12,17,20,24,22,8,13,10,17,59,44,95,61,72,39
1500000US360470043003,360470043003,"Block Group 3, Census Tract 43, Kings County, New York",424,118,0,12,6,9,0,12,39,39,0,12,52,64,0,12,23,37,26,41,53,62,0,12,18,19,47,41,79,64,38,28,43,35
1500000US360470043004,360470043004,"Block Group 4, Census Tract 43, Kings County, New York",623,91,28,29,0,12,57,57,0,12,0,12,0,12,16,18,11,17,47,50,9,14,60,50,55,36,101,48,52,47,67,41,120,46
1500000US360470044000,360470044000,"Block Group 0, Census Tract 44, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470044001,360470044001,"Block Group 1, Census Tract 44, Kings County, New York",483,67,12,18,10,14,6,9,0,12,12,17,36,29,17,14,0,12,2,5,40,28,35,39,62,31,36,29,45,36,91,53,79,41
1500000US360470044002,360470044002,"Block Group 2, Census Tract 44, Kings County, New York",482,73,17,15,39,30,21,29,7,12,31,28,32,16,5,8,23,21,0,12,51,54,51,38,56,34,48,41,16,18,50,25,35,24
1500000US360470045001,360470045001,"Block Group 1, Census Tract 45, Kings County, New York",630,94,18,19,9,13,4,7,24,28,0,12,0,12,12,18,19,21,79,61,49,52,154,75,42,49,0,12,68,38,37,29,115,53
1500000US360470045002,360470045002,"Block Group 2, Census Tract 45, Kings County, New York",366,75,0,12,10,15,0,12,0,12,0,12,0,12,26,28,0,12,0,12,10,16,9,14,52,48,26,28,46,48,64,39,123,53
1500000US360470045003,360470045003,"Block Group 3, Census Tract 45, Kings County, New York",440,87,0,12,24,38,5,10,9,13,17,14,28,46,18,21,38,47,0,12,13,19,36,25,42,28,23,25,18,20,43,19,126,75
1500000US360470045004,360470045004,"Block Group 4, Census Tract 45, Kings County, New York",280,63,0,12,0,12,0,12,0,12,0,12,0,12,10,15,9,14,11,17,9,14,27,23,36,28,28,37,23,20,11,16,116,56
1500000US360470046000,360470046000,"Block Group 0, Census Tract 46, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470046001,360470046001,"Block Group 1, Census Tract 46, Kings County, New York",510,43,47,54,6,9,5,8,78,63,0,12,29,29,6,8,0,12,6,9,22,26,10,12,92,54,6,9,28,25,81,41,94,41
1500000US360470047001,360470047001,"Block Group 1, Census Tract 47, Kings County, New York",641,68,42,24,6,10,35,36,18,20,6,9,16,17,46,38,22,27,11,16,29,20,21,22,52,26,142,77,37,25,37,36,121,55
1500000US360470049001,360470049001,"Block Group 1, Census Tract 49, Kings County, New York",212,61,26,22,0,12,8,13,28,33,0,12,9,14,0,12,0,12,0,12,41,31,22,22,0,12,15,17,16,23,8,12,39,25
1500000US360470049002,360470049002,"Block Group 2, Census Tract 49, Kings County, New York",354,76,0,12,0,12,27,37,0,12,9,15,9,14,22,30,11,19,0,12,9,12,17,19,44,39,47,41,0,12,90,56,69,45
1500000US360470049003,360470049003,"Block Group 3, Census Tract 49, Kings County, New York",346,70,7,12,0,12,0,12,21,24,0,12,9,15,9,13,8,12,7,11,37,46,47,27,25,23,77,52,43,32,0,12,56,52
1500000US360470050000,360470050000,"Block Group 0, Census Tract 50, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470050001,360470050001,"Block Group 1, Census Tract 50, Kings County, New York",352,86,0,12,0,12,0,12,31,39,14,19,9,14,42,48,0,12,0,12,29,26,38,45,29,28,23,35,9,15,59,37,69,57
1500000US360470050002,360470050002,"Block Group 2, Census Tract 50, Kings County, New York",419,77,12,19,43,39,0,12,0,12,0,12,16,24,34,40,63,52,0,12,36,42,46,57,37,32,54,41,0,12,63,32,15,18
1500000US360470050003,360470050003,"Block Group 3, Census Tract 50, Kings County, New York",302,71,10,16,9,14,10,15,0,12,9,14,23,34,0,12,0,12,10,15,25,24,0,12,69,41,20,20,19,20,58,28,40,32
1500000US360470051001,360470051001,"Block Group 1, Census Tract 51, Kings County, New York",184,55,0,12,0,12,0,12,0,12,0,12,10,16,9,14,0,12,0,12,9,15,51,47,27,23,18,20,26,27,24,21,10,16
1500000US360470051002,360470051002,"Block Group 2, Census Tract 51, Kings County, New York",402,82,13,20,0,12,0,12,0,12,14,22,16,25,0,12,28,36,7,12,29,25,38,47,86,69,18,24,46,30,60,44,47,49
1500000US360470051003,360470051003,"Block Group 3, Census Tract 51, Kings County, New York",384,72,22,23,16,19,5,8,0,12,0,12,8,13,0,12,0,12,23,25,17,19,4,7,45,38,78,53,62,44,65,41,39,44
1500000US360470052010,360470052010,"Block Group 0, Census Tract 52.01, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052011,360470052011,"Block Group 1, Census Tract 52.01, Kings County, New York",1041,79,239,82,199,75,106,70,20,22,48,57,26,22,16,17,18,22,3,6,54,37,25,23,78,40,57,55,53,38,60,50,39,26
1500000US360470052020,360470052020,"Block Group 0, Census Tract 52.02, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052021,360470052021,"Block Group 1, Census Tract 52.02, Kings County, New York",695,86,50,33,13,21,17,19,10,16,52,51,0,12,7,11,46,55,45,53,60,43,67,51,102,48,113,53,9,15,50,43,54,34
1500000US360470052022,360470052022,"Block Group 2, Census Tract 52.02, Kings County, New York",654,104,55,44,19,21,49,37,0,12,51,36,10,15,20,23,8,13,39,38,69,55,39,32,117,73,74,47,0,12,58,45,46,33
1500000US360470053000,360470053000,"Block Group 0, Census Tract 53, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470053001,360470053001,"Block Group 1, Census Tract 53, Kings County, New York",186,60,29,40,0,12,17,26,0,12,0,12,0,12,0,12,15,24,8,10,0,12,33,38,7,11,0,12,11,16,39,35,27,20
1500000US360470053002,360470053002,"Block Group 2, Census Tract 53, Kings County, New York",472,96,36,34,47,44,6,8,18,20,6,11,46,36,0,12,15,18,0,12,78,68,79,70,58,57,14,14,12,14,12,15,45,44
1500000US360470053003,360470053003,"Block Group 3, Census Tract 53, Kings County, New York",151,50,0,12,0,12,3,6,13,20,0,12,24,29,0,12,17,20,0,12,0,12,12,13,18,16,22,28,10,16,21,20,11,11
1500000US360470053004,360470053004,"Block Group 4, Census Tract 53, Kings County, New York",102,37,4,8,12,21,0,12,0,12,0,12,0,12,0,12,0,12,17,20,0,12,20,19,12,12,0,12,0,12,27,24,10,13
1500000US360470054000,360470054000,"Block Group 0, Census Tract 54, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470054001,360470054001,"Block Group 1, Census Tract 54, Kings County, New York",912,101,51,32,25,28,21,19,28,33,19,20,9,15,0,12,40,34,118,78,33,27,98,49,143,71,107,54,91,41,62,43,67,43
1500000US360470054002,360470054002,"Block Group 2, Census Tract 54, Kings County, New York",255,68,15,17,24,19,16,26,34,42,8,13,0,12,18,20,9,14,12,11,0,12,12,18,52,37,25,39,24,27,0,12,6,10
